SROM fields,,,,,,BCM943602X100EVB_6 Rev 13 (FCC),,
Byte Offset,,Word Offset,,Description,Value,Explanation,,
1614,64E,807,327,tssi18_chan7_c2 / tssi19_chan7_c2,0xffff,b7:0 - tssi18_chan7_c2 ; b15:8 - tssi19_chan7_c2,,
1616,650,808,328,tssi20_chan7_c2 / tssi21_chan7_c2,0xffff,b7:0 - tssi20_chan7_c2 ; b15:8 - tssi21_chan7_c2,,
1618,652,809,329,tssi0_chan8_c0 / tssi1_chan8_c0,0xffff,b7:0 - tssi0_chan8_c0 ; b15:8 - tssi1_chan8_c0,,
1620,654,810,32A,tssi2_chan8_c0 / tssi3_chan8_c0,0xffff,b7:0 - tssi2_chan8_c0 ; b15:8 - tssi3_chan8_c0,,
1622,656,811,32B,tssi4_chan8_c0 / tssi5_chan8_c0,0xffff,b7:0 - tssi4_chan8_c0 ; b15:8 - tssi5_chan8_c0,,
1624,658,812,32C,tssi6_chan8_c0 / tssi7_chan8_c0,0xffff,b7:0 - tssi6_chan8_c0 ; b15:8 - tssi7_chan8_c0,,
1626,65A,813,32D,tssi8_chan8_c0 / tssi9_chan8_c0,0xffff,b7:0 - tssi8_chan8_c0 ; b15:8 - tssi9_chan8_c0,,
1628,65C,814,32E,tssi10_chan8_c0 / tssi11_chan8_c0,0xffff,b7:0 - tssi10_chan8_c0 ; b15:8 - tssi11_chan8_c0,,
1630,65E,815,32F,tssi12_chan8_c0 / tssi13_chan8_c0,0xffff,b7:0 - tssi12_chan8_c0 ; b15:8 - tssi13_chan8_c0,,
1632,660,816,330,tssi14_chan8_c0 / tssi15_chan8_c0,0xffff,b7:0 - tssi14_chan8_c0 ; b15:8 - tssi15_chan8_c0,,
1634,662,817,331,tssi16_chan8_c0 / tssi17_chan8_c0,0xffff,b7:0 - tssi16_chan8_c0 ; b15:8 - tssi17_chan8_c0,,
1636,664,818,332,tssi18_chan8_c0 / tssi19_chan8_c0,0xffff,b7:0 - tssi18_chan8_c0 ; b15:8 - tssi19_chan8_c0,,
1638,666,819,333,tssi20_chan8_c0 / tssi21_chan8_c0,0xffff,b7:0 - tssi20_chan8_c0 ; b15:8 - tssi21_chan8_c0,,
1640,668,820,334,tssi0_chan8_c1 / tssi1_chan8_c1,0xffff,b7:0 - tssi0_chan8_c1 ; b15:8 - tssi1_chan8_c1,,
1642,66A,821,335,tssi2_chan8_c1 / tssi3_chan8_c1,0xffff,b7:0 - tssi2_chan8_c1 ; b15:8 - tssi3_chan8_c1,,
1644,66C,822,336,tssi4_chan8_c1 / tssi5_chan8_c1,0xffff,b7:0 - tssi4_chan8_c1 ; b15:8 - tssi5_chan8_c1,,
1646,66E,823,337,tssi6_chan8_c1 / tssi7_chan8_c1,0xffff,b7:0 - tssi6_chan8_c1 ; b15:8 - tssi7_chan8_c1,,
1648,670,824,338,tssi8_chan8_c1 / tssi9_chan8_c1,0xffff,b7:0 - tssi8_chan8_c1 ; b15:8 - tssi9_chan8_c1,,
1650,672,825,339,tssi10_chan8_c1 / tssi11_chan8_c1,0xffff,b7:0 - tssi10_chan8_c1 ; b15:8 - tssi11_chan8_c1,,
1652,674,826,33A,tssi12_chan8_c1 / tssi13_chan8_c1,0xffff,b7:0 - tssi12_chan8_c1 ; b15:8 - tssi13_chan8_c1,,
1654,676,827,33B,tssi14_chan8_c1 / tssi15_chan8_c1,0xffff,b7:0 - tssi14_chan8_c1 ; b15:8 - tssi15_chan8_c1,,
1656,678,828,33C,tssi16_chan8_c1 / tssi17_chan8_c1,0xffff,b7:0 - tssi16_chan8_c1 ; b15:8 - tssi17_chan8_c1,,
1658,67A,829,33D,tssi18_chan8_c1 / tssi19_chan8_c1,0xffff,b7:0 - tssi18_chan8_c1 ; b15:8 - tssi19_chan8_c1,,
1660,67C,830,33E,tssi20_chan8_c1 / tssi21_chan8_c1,0xffff,b7:0 - tssi20_chan8_c1 ; b15:8 - tssi21_chan8_c1,,
1662,67E,831,33F,tssi0_chan8_c2 / tssi1_chan8_c2,0xffff,b7:0 - tssi0_chan8_c2 ; b15:8 - tssi1_chan8_c2,,
1664,680,832,340,tssi2_chan8_c2 / tssi3_chan8_c2,0xffff,b7:0 - tssi2_chan8_c2 ; b15:8 - tssi3_chan8_c2,,
1666,682,833,341,tssi4_chan8_c2 / tssi5_chan8_c2,0xffff,b7:0 - tssi4_chan8_c2 ; b15:8 - tssi5_chan8_c2,,
1668,684,834,342,tssi6_chan8_c2 / tssi7_chan8_c2,0xffff,b7:0 - tssi6_chan8_c2 ; b15:8 - tssi7_chan8_c2,,
1670,686,835,343,tssi8_chan8_c2 / tssi9_chan8_c2,0xffff,b7:0 - tssi8_chan8_c2 ; b15:8 - tssi9_chan8_c2,,
1672,688,836,344,tssi10_chan8_c2 / tssi11_chan8_c2,0xffff,b7:0 - tssi10_chan8_c2 ; b15:8 - tssi11_chan8_c2,,
1674,68A,837,345,tssi12_chan8_c2 / tssi13_chan8_c2,0xffff,b7:0 - tssi12_chan8_c2 ; b15:8 - tssi13_chan8_c2,,
1676,68C,838,346,tssi14_chan8_c2 / tssi15_chan8_c2,0xffff,b7:0 - tssi14_chan8_c2 ; b15:8 - tssi15_chan8_c2,,
1678,68E,839,347,tssi16_chan8_c2 / tssi17_chan8_c2,0xffff,b7:0 - tssi16_chan8_c2 ; b15:8 - tssi17_chan8_c2,,
1680,690,840,348,tssi18_chan8_c2 / tssi19_chan8_c2,0xffff,b7:0 - tssi18_chan8_c2 ; b15:8 - tssi19_chan8_c2,,
1682,692,841,349,tssi20_chan8_c2 / tssi21_chan8_c2,0xffff,b7:0 - tssi20_chan8_c2 ; b15:8 - tssi21_chan8_c2,,
1684,694,842,34A,tssi0_chan9_c0 / tssi1_chan9_c0,0xffff,b7:0 - tssi0_chan9_c0 ; b15:8 - tssi1_chan9_c0,,
1686,696,843,34B,tssi2_chan9_c0 / tssi3_chan9_c0,0xffff,b7:0 - tssi2_chan9_c0 ; b15:8 - tssi3_chan9_c0,,
1688,698,844,34C,tssi4_chan9_c0 / tssi5_chan9_c0,0xffff,b7:0 - tssi4_chan9_c0 ; b15:8 - tssi5_chan9_c0,,
1690,69A,845,34D,tssi6_chan9_c0 / tssi7_chan9_c0,0xffff,b7:0 - tssi6_chan9_c0 ; b15:8 - tssi7_chan9_c0,,
1692,69C,846,34E,tssi8_chan9_c0 / tssi9_chan9_c0,0xffff,b7:0 - tssi8_chan9_c0 ; b15:8 - tssi9_chan9_c0,,
1694,69E,847,34F,tssi10_chan9_c0 / tssi11_chan9_c0,0xffff,b7:0 - tssi10_chan9_c0 ; b15:8 - tssi11_chan9_c0,,
1696,6A0,848,350,tssi12_chan9_c0 / tssi13_chan9_c0,0xffff,b7:0 - tssi12_chan9_c0 ; b15:8 - tssi13_chan9_c0,,
1698,6A2,849,351,tssi14_chan9_c0 / tssi15_chan9_c0,0xffff,b7:0 - tssi14_chan9_c0 ; b15:8 - tssi15_chan9_c0,,
1700,6A4,850,352,tssi16_chan9_c0 / tssi17_chan9_c0,0xffff,b7:0 - tssi16_chan9_c0 ; b15:8 - tssi17_chan9_c0,,
1702,6A6,851,353,tssi18_chan9_c0 / tssi19_chan9_c0,0xffff,b7:0 - tssi18_chan9_c0 ; b15:8 - tssi19_chan9_c0,,
1704,6A8,852,354,tssi20_chan9_c0 / tssi21_chan9_c0,0xffff,b7:0 - tssi20_chan9_c0 ; b15:8 - tssi21_chan9_c0,,
1706,6AA,853,355,tssi0_chan9_c1 / tssi1_chan9_c1,0xffff,b7:0 - tssi0_chan9_c1 ; b15:8 - tssi1_chan9_c1,,
1708,6AC,854,356,tssi2_chan9_c1 / tssi3_chan9_c1,0xffff,b7:0 - tssi2_chan9_c1 ; b15:8 - tssi3_chan9_c1,,
1710,6AE,855,357,tssi4_chan9_c1 / tssi5_chan9_c1,0xffff,b7:0 - tssi4_chan9_c1 ; b15:8 - tssi5_chan9_c1,,
1712,6B0,856,358,tssi6_chan9_c1 / tssi7_chan9_c1,0xffff,b7:0 - tssi6_chan9_c1 ; b15:8 - tssi7_chan9_c1,,
1714,6B2,857,359,tssi8_chan9_c1 / tssi9_chan9_c1,0xffff,b7:0 - tssi8_chan9_c1 ; b15:8 - tssi9_chan9_c1,,
1716,6B4,858,35A,tssi10_chan9_c1 / tssi11_chan9_c1,0xffff,b7:0 - tssi10_chan9_c1 ; b15:8 - tssi11_chan9_c1,,
1718,6B6,859,35B,tssi12_chan9_c1 / tssi13_chan9_c1,0xffff,b7:0 - tssi12_chan9_c1 ; b15:8 - tssi13_chan9_c1,,
1720,6B8,860,35C,tssi14_chan9_c1 / tssi15_chan9_c1,0xffff,b7:0 - tssi14_chan9_c1 ; b15:8 - tssi15_chan9_c1,,
1722,6BA,861,35D,tssi16_chan9_c1 / tssi17_chan9_c1,0xffff,b7:0 - tssi16_chan9_c1 ; b15:8 - tssi17_chan9_c1,,
1724,6BC,862,35E,tssi18_chan9_c1 / tssi19_chan9_c1,0xffff,b7:0 - tssi18_chan9_c1 ; b15:8 - tssi19_chan9_c1,,
1726,6BE,863,35F,tssi20_chan9_c1 / tssi21_chan9_c1,0xffff,b7:0 - tssi20_chan9_c1 ; b15:8 - tssi21_chan9_c1,,
1728,6C0,864,360,tssi0_chan9_c2 / tssi1_chan9_c2,0xffff,b7:0 - tssi0_chan9_c2 ; b15:8 - tssi1_chan9_c2,,
1730,6C2,865,361,tssi2_chan9_c2 / tssi3_chan9_c2,0xffff,b7:0 - tssi2_chan9_c2 ; b15:8 - tssi3_chan9_c2,,
1732,6C4,866,362,tssi4_chan9_c2 / tssi5_chan9_c2,0xffff,b7:0 - tssi4_chan9_c2 ; b15:8 - tssi5_chan9_c2,,
1734,6C6,867,363,tssi6_chan9_c2 / tssi7_chan9_c2,0xffff,b7:0 - tssi6_chan9_c2 ; b15:8 - tssi7_chan9_c2,,
1736,6C8,868,364,tssi8_chan9_c2 / tssi9_chan9_c2,0xffff,b7:0 - tssi8_chan9_c2 ; b15:8 - tssi9_chan9_c2,,
1738,6CA,869,365,tssi10_chan9_c2 / tssi11_chan9_c2,0xffff,b7:0 - tssi10_chan9_c2 ; b15:8 - tssi11_chan9_c2,,
1740,6CC,870,366,tssi12_chan9_c2 / tssi13_chan9_c2,0xffff,b7:0 - tssi12_chan9_c2 ; b15:8 - tssi13_chan9_c2,,
1742,6CE,871,367,tssi14_chan9_c2 / tssi15_chan9_c2,0xffff,b7:0 - tssi14_chan9_c2 ; b15:8 - tssi15_chan9_c2,,
1744,6D0,872,368,tssi16_chan9_c2 / tssi17_chan9_c2,0xffff,b7:0 - tssi16_chan9_c2 ; b15:8 - tssi17_chan9_c2,,
1746,6D2,873,369,tssi18_chan9_c2 / tssi19_chan9_c2,0xffff,b7:0 - tssi18_chan9_c2 ; b15:8 - tssi19_chan9_c2,,
1748,6D4,874,36A,tssi20_chan9_c2 / tssi21_chan9_c2,0xffff,b7:0 - tssi20_chan9_c2 ; b15:8 - tssi21_chan9_c2,,
1750,6D6,875,36B,reserved,0xffff,,,
1752,6D8,876,36C,reserved,0xffff,,,
1754,6DA,877,36D,reserved,0xffff,,,
1756,6DC,878,36E,reserved,0xffff,,,
1758,6DE,879,36F,reserved,0xffff,,,
1760,6E0,880,370,reserved,0xffff,,,
1762,6E2,881,371,reserved,0xffff,,,
1764,6E4,882,372,reserved,0xffff,,,
1766,6E6,883,373,reserved,0xffff,,,
1768,6E8,884,374,reserved,0xffff,,,
1770,6EA,885,375,reserved,0xffff,,,
1772,6EC,886,376,reserved,0xffff,,,
1774,6EE,887,377,reserved,0xffff,,,
1776,6F0,888,378,reserved,0xffff,,,
1778,6F2,889,379,reserved,0xffff,,,
1780,6F4,890,37A,reserved,0xffff,,,
1782,6F6,891,37B,reserved,0xffff,,,
1784,6F8,892,37C,reserved,0xffff,,,
1786,6FA,893,37D,reserved,0xffff,,,
1788,6FC,894,37E,reserved,0xffff,,,
1790,6FE,895,37F,reserved,0xffff,,,
1792,700,896,380,reserved,0xffff,,,
1794,702,897,381,reserved,0xffff,,,
1796,704,898,382,reserved,0xffff,,,
1798,706,899,383,reserved,0xffff,,,
1800,708,900,384,reserved,0xffff,,,
1802,70A,901,385,reserved,0xffff,,,
1804,70C,902,386,reserved,0xffff,,,
1806,70E,903,387,reserved,0xffff,,,
1808,710,904,388,reserved,0xffff,,,
1810,712,905,389,reserved,0xffff,,,
1812,714,906,38A,reserved,0xffff,,,
1814,716,907,38B,reserved,0xffff,,,
1816,718,908,38C,reserved,0xffff,,,
1818,71A,909,38D,reserved,0xffff,,,
1820,71C,910,38E,reserved,0xffff,,,
1822,71E,911,38F,reserved,0xffff,,,
1824,720,912,390,reserved,0xffff,,,
1826,722,913,391,reserved,0xffff,,,
1828,724,914,392,reserved,0xffff,,,
1830,726,915,393,reserved,0xffff,,,
1832,728,916,394,reserved,0xffff,,,
1834,72A,917,395,reserved,0xffff,,,
1836,72C,918,396,reserved,0xffff,,,
1838,72E,919,397,reserved,0xffff,,,
1840,730,920,398,reserved,0xffff,,,
1842,732,921,399,reserved,0xffff,,,
1844,734,922,39A,reserved,0xffff,,,
1846,736,923,39B,reserved,0xffff,,,
1848,738,924,39C,reserved,0xffff,,,
1850,73A,925,39D,reserved,0xffff,,,
1852,73C,926,39E,reserved,0xffff,,,
1854,73E,927,39F,reserved,0xffff,,,
1856,740,928,3A0,reserved,0xffff,,,
1858,742,929,3A1,reserved,0xffff,,,
1860,744,930,3A2,reserved,0xffff,,,
1862,746,931,3A3,reserved,0xffff,,,
1864,748,932,3A4,reserved,0xffff,,,
1866,74A,933,3A5,reserved,0xffff,,,
1868,74C,934,3A6,reserved,0xffff,,,
1870,74E,935,3A7,reserved,0xffff,,,
1872,750,936,3A8,reserved,0xffff,,,
1874,752,937,3A9,reserved,0xffff,,,
1876,754,938,3AA,reserved,0xffff,,,
1878,756,939,3AB,reserved,0xffff,,,
1880,758,940,3AC,reserved,0xffff,,,
1882,75A,941,3AD,reserved,0xffff,,,
1884,75C,942,3AE,reserved,0xffff,,,
1886,75E,943,3AF,reserved,0xffff,,,
1888,760,944,3B0,reserved,0xffff,,,
1890,762,945,3B1,reserved,0xffff,,,
1892,764,946,3B2,reserved,0xffff,,,
1894,766,947,3B3,reserved,0xffff,,,
1896,768,948,3B4,reserved,0xffff,,,
1898,76A,949,3B5,reserved,0xffff,,,
1900,76C,950,3B6,reserved,0xffff,,,
1902,76E,951,3B7,reserved,0xffff,,,
1904,770,952,3B8,reserved,0xffff,,,
1906,772,953,3B9,reserved,0xffff,,,
1908,774,954,3BA,reserved,0xffff,,,
1910,776,955,3BB,reserved,0xffff,,,
1912,778,956,3BC,reserved,0xffff,,,
1914,77A,957,3BD,reserved,0xffff,,,
1916,77C,958,3BE,reserved,0xffff,,,
1918,77E,959,3BF,reserved,0xffff,,,
1920,780,960,3C0,reserved,0xffff,,,
1922,782,961,3C1,reserved,0xffff,,,
1924,784,962,3C2,reserved,0xffff,,,
1926,786,963,3C3,reserved,0xffff,,,
1928,788,964,3C4,reserved,0xffff,,,
1930,78A,965,3C5,reserved,0xffff,,,
1932,78C,966,3C6,reserved,0xffff,,,
1934,78E,967,3C7,reserved,0xffff,,,
1936,790,968,3C8,reserved,0xffff,,,
1938,792,969,3C9,reserved,0xffff,,,
1940,794,970,3CA,reserved,0xffff,,,
1942,796,971,3CB,reserved,0xffff,,,
1944,798,972,3CC,reserved,0xffff,,,
1946,79A,973,3CD,reserved,0xffff,,,
1948,79C,974,3CE,reserved,0xffff,,,
1950,79E,975,3CF,reserved,0xffff,,,
1952,7A0,976,3D0,reserved,0xffff,,,
1954,7A2,977,3D1,reserved,0xffff,,,
1956,7A4,978,3D2,reserved,0xffff,,,
1958,7A6,979,3D3,reserved,0xffff,,,
1960,7A8,980,3D4,reserved,0xffff,,,
1962,7AA,981,3D5,reserved,0xffff,,,
1964,7AC,982,3D6,reserved,0xffff,,,
1966,7AE,983,3D7,reserved,0xffff,,,
1968,7B0,984,3D8,reserved,0xffff,,,
1970,7B2,985,3D9,reserved,0xffff,,,
1972,7B4,986,3DA,reserved,0xffff,,,
1974,7B6,987,3DB,reserved,0xffff,,,
1976,7B8,988,3DC,reserved,0xffff,,,
1978,7BA,989,3DD,reserved,0xffff,,,
1980,7BC,990,3DE,reserved,0xffff,,,
1982,7BE,991,3DF,reserved,0xffff,,,
1984,7C0,992,3E0,reserved,0xffff,,,
1986,7C2,993,3E1,reserved,0xffff,,,
1988,7C4,994,3E2,reserved,0xffff,,,
1990,7C6,995,3E3,reserved,0xffff,,,
1992,7C8,996,3E4,reserved,0xffff,,,
1994,7CA,997,3E5,reserved,0xffff,,,
1996,7CC,998,3E6,reserved,0xffff,,,
1998,7CE,999,3E7,reserved,0xffff,,,
2000,7D0,1000,3E8,reserved,0xffff,,,
2002,7D2,1001,3E9,reserved,0xffff,,,
2004,7D4,1002,3EA,reserved,0xffff,,,
2006,7D6,1003,3EB,reserved,0xffff,,,
2008,7D8,1004,3EC,reserved,0xffff,,,
2010,7DA,1005,3ED,reserved,0xffff,,,
2012,7DC,1006,3EE,reserved,0xffff,,,
2014,7DE,1007,3EF,reserved,0xffff,,,
2016,7E0,1008,3F0,reserved,0xffff,,,
2018,7E2,1009,3F1,reserved,0xffff,,,
2020,7E4,1010,3F2,reserved,0xffff,,,
2022,7E6,1011,3F3,reserved,0xffff,,,
2024,7E8,1012,3F4,reserved,0xffff,,,
2026,7EA,1013,3F5,reserved,0xffff,,,
2028,7EC,1014,3F6,reserved,0xffff,,,
2030,7EE,1015,3F7,reserved,0xffff,,,
2032,7F0,1016,3F8,reserved,0xffff,,,
2034,7F2,1017,3F9,reserved,0xffff,,,
2036,7F4,1018,3FA,reserved,0xffff,,,
2038,7F6,1019,3FB,reserved,0xffff,,,
2040,7F8,1020,3FC,reserved,0xffff,,,
2042,7FA,1021,3FD,reserved,0xffff,,,
2044,7FC,1022,3FE,reserved,0xffff,,,
2046,7FE,1023,3FF,sromrev,0xXX0c,"7:0 Srom revision (rev 12), 15:8 CRC ",,
